model,rank,tier,lat,lon,h,w,pred,true,intervention,cmf,expected_severity_reduction_pct
convlstm,154,MONITOR,41.8975,-87.6675,51,56,0.7840308304876089,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,155,MONITOR,41.7825,-87.6725,28,55,0.7833235114812851,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,156,MONITOR,41.7925,-87.6725,30,55,0.7829913755413145,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,157,MONITOR,41.8775,-87.64750000000001,47,60,0.7829625343438238,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,158,MONITOR,41.8775,-87.63250000000001,47,63,0.7810024190694094,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,159,MONITOR,41.8025,-87.6225,32,65,0.7808775620069355,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,160,MONITOR,41.7725,-87.6725,26,55,0.7804479410406202,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,161,MONITOR,41.9025,-87.66250000000001,52,57,0.7803386989980936,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,162,MONITOR,41.7475,-87.5875,21,72,0.7802911808248609,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,163,MONITOR,41.7375,-87.66250000000001,19,57,0.7801971861626953,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,164,MONITOR,41.7925,-87.66250000000001,30,57,0.7799283666536212,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,165,MONITOR,41.7925,-87.63250000000001,30,63,0.7784030160401016,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,166,MONITOR,41.7475,-87.5775,21,74,0.7777506858110428,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,167,MONITOR,41.8125,-87.6225,34,65,0.7771466691046953,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,168,MONITOR,41.7875,-87.6525,29,59,0.7766567319631577,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,169,MONITOR,41.9775,-87.7525,67,39,0.7763772578909993,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,170,MONITOR,41.7375,-87.6725,19,55,0.7762187218759209,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,171,MONITOR,41.8875,-87.6675,49,56,0.7747912239283323,3.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,172,MONITOR,41.9325,-87.7075,58,48,0.7743919752538204,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,173,MONITOR,41.9125,-87.6375,54,62,0.7736239731311798,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,174,MONITOR,41.8175,-87.6275,35,64,0.7733230052981526,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,175,MONITOR,41.9925,-87.7775,70,34,0.7732694866135716,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,176,MONITOR,41.8875,-87.6275,49,64,0.7729945441242307,3.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,177,MONITOR,41.7325,-87.6425,18,61,0.7727842032909393,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,178,MONITOR,41.9025,-87.6525,52,59,0.7726884940639138,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,179,MONITOR,41.9475,-87.7975,61,30,0.7722708135843277,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,180,MONITOR,41.7375,-87.56750000000001,19,76,0.7717389927711338,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,181,MONITOR,41.9375,-87.6975,59,50,0.7716693077236414,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,182,MONITOR,41.8325,-87.6825,38,53,0.7716083182021976,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,183,MONITOR,41.8975,-87.6425,51,61,0.7710116496309638,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,184,MONITOR,41.8025,-87.6575,32,58,0.7704785426612943,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,185,MONITOR,41.9925,-87.8075,70,28,0.7702020688448101,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,186,MONITOR,41.9275,-87.6875,57,52,0.7699326984584332,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,187,MONITOR,41.8725,-87.6275,46,64,0.7696875156834722,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,188,MONITOR,41.7675,-87.6175,25,66,0.7693286205176264,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,189,MONITOR,41.8825,-87.64750000000001,48,60,0.7693263550754637,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,190,MONITOR,41.8175,-87.6025,35,69,0.7692493833601475,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,191,MONITOR,41.9225,-87.7025,56,49,0.7687246038112789,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,192,MONITOR,41.8225,-87.6275,36,64,0.7680979913566262,1.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,193,MONITOR,41.8825,-87.6425,48,61,0.7655898893717676,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,194,MONITOR,41.8925,-87.66250000000001,50,57,0.7651304472237825,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,195,MONITOR,41.8925,-87.6725,50,55,0.7650343703571707,0.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,196,MONITOR,41.7375,-87.5625,19,77,0.7636546967551112,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
convlstm,197,MONITOR,41.7925,-87.6175,30,66,0.7634115347173065,2.0,Corridor safety audit + targeted enforcement,0.85,15.000000000000002
