h,w,n_cameras,violation_score,total_violations,lat,lon,addresses,pred,true,log_violation_score,high_violations,low_severe,is_preventative,is_enforcement_gap,z_viol,z_pred,preventative_score,enforcement_gap_score
48,57,1,68.05890669180019,288842.0,41.8832,-87.6641,115 N Ogden Ave,0.6792807346301664,0,4.234959860556486,False,False,False,True,0.4608644565481822,0.007938540431798832,0.4529259161163834,-0.4529259161163834
50,44,1,22.47041272998508,45188.0,41.8945,-87.7262,732 N Pulaski Rd,0.4769833850903223,1,3.155740595135881,False,False,False,True,-0.5285714742165998,-0.3908988958242597,-0.1376725783923401,0.1376725783923401
50,57,1,70.61672473867596,20267.0,41.891,-87.6646,1455 W Grand Ave,0.3113051743018822,0,4.271328632425397,False,False,False,True,0.49420760635830274,-0.7605762772264062,1.254783883584709,-1.254783883584709
50,65,2,41.74699515200007,169973.0,41.890045,-87.6203,450 N Columbus Dr | 449 N Columbus Dr,3.0118849283677207,4,3.755298904070289,False,False,False,True,0.021107865706114406,2.7138863287459576,-2.692778463039843,2.692778463039843
50,66,2,190.2731887091929,73374.0,41.891200000000005,-87.6182,324 E Illinois St | 324 E Illinois St | 451 E Grand Ave,1.0068411681339529,1,5.253702713509325,True,False,False,False,1.3948551804151432,0.561609997052293,0.8332451833628503,-0.8332451833628503
51,44,2,65.7676295489876,132824.0,41.895300000000006,-87.7277,4041 W Chicago Ave | 4040 W Chicago Ave,2.2347106691263217,2,4.201218375502083,False,False,False,True,0.4299300220547628,2.04486323511972,-1.6149332130649572,1.6149332130649572
51,49,1,32.85031234983181,136723.0,41.89929,-87.7045,3100 W Augusta Blvd,1.2004947266649502,5,3.521948226784893,False,False,False,True,-0.19282970191549828,0.8478356600750683,-1.0406653619905666,1.0406653619905666
51,63,1,135.98978644382544,146461.0,41.8988,-87.6313,901 N Clark St,1.3827342532694584,4,4.9199063715441,True,False,False,False,1.088828309990878,1.095055522577467,-0.006227212586588982,0.006227212586588982
51,64,2,20.799533896689923,18783.0,41.89666666666667,-87.62893333333334,19 E Chicago Ave | 19 E Chicago Ave | 14 W Chicago Ave,2.3335127007528644,3,3.0818885886806857,False,False,False,True,-0.5962795212160797,2.1383465325388027,-2.7346260537548823,2.7346260537548823
52,49,1,93.96445610687024,393899.0,41.9014,-87.7021,1111 N Humboldt Blvd,0.3312803333240254,1,4.553502675346901,True,False,False,False,0.7529067843116258,-0.713602793529963,1.4665095778415889,-1.4665095778415889
52,52,3,74.01902029866292,145362.0,41.90353,-87.68663333333332,1226 S Western Ave | 1229 N Western Ave | 2329 W Division St,0.7775043273496618,2,4.317741685366428,False,False,False,True,0.5367594247957238,0.1845600791406525,0.35219934565507127,-0.35219934565507127
52,57,2,93.284440675131,108861.0,41.903400000000005,-87.66465,1444 W Division St | 1455 W Division St,1.907711331515032,2,4.546316177882889,True,False,False,False,0.7463181521077036,1.713731117543106,-0.9674129654354024,0.9674129654354024
53,44,2,64.32991923056485,215574.0,41.909845,-87.72835,4042 W North Ave | 4053 W North Ave,2.1391450001340444,2,4.179450112521952,False,False,False,True,0.4099727230767056,1.9516847752840794,-1.5417120522073737,1.5417120522073737
54,44,1,25.97863623061165,88769.0,41.9134,-87.7266,1754 N Pulaski Rd,0.978679663336103,2,3.2950453020821664,False,False,False,True,-0.40085592391682323,0.5177002127554191,-0.9185561366722423,0.9185561366722423
54,56,2,44.84885961150381,85996.0,41.91175,-87.66775,1635 N Ashland Ave | 1638 N Ashland Ave,1.3507948026054009,0,3.825350326234025,False,False,False,True,0.08533150988185086,1.0531248056645977,-0.9677932957827468,0.9677932957827468
54,63,1,26.64591439688716,6848.0,41.9122,-87.633,1635 N LaSalle,1.843601006283786,2,3.3194779556359815,False,False,False,True,-0.3784558926306407,1.6444583853051509,-2.022914277935792,2.022914277935792
55,37,1,17.394512771996215,36772.0,41.9182,-87.7623,5440 W Grand Ave,0.0879533963179482,0,2.912052401225588,False,True,False,False,-0.7519865509147068,-1.3407458478844476,0.5887592969697408,-0.5887592969697408
55,63,1,39.064547206165706,40549.0,41.9159,-87.6344,1817 N Clark St,0.1944491964630849,0,3.690491833685221,False,True,False,False,-0.038307719301625444,-1.0505848758731007,1.0122771565714752,-1.0122771565714752
56,33,2,38.20983880658416,152206.0,41.9237,-87.78255,6247 W Fullerton Ave | 6250 W Fullerton Ave,0.2564341406886795,0,3.668927705267587,False,True,False,False,-0.058077866254772674,-0.8933895969773056,0.835311730722533,-0.835311730722533
56,37,2,40.446377335744415,80767.0,41.92400000000001,-87.76345,5509 W Fullerton Ave | 5446 W Fullerton Ave,0.5290837457365047,0,3.724400479347954,False,False,False,True,-0.007220030768560162,-0.28318571579338553,0.2759656850248254,-0.2759656850248254
56,39,1,83.3695652173913,11505.0,41.9242,-87.7534,5050 W Fullerton Ave,0.5623801768241741,0,4.435206734879811,False,False,False,True,0.6444522211732133,-0.2162537471806552,0.8607059683538685,-0.8607059683538685
56,40,1,42.12170579779588,87908.0,41.9241,-87.748,4843 W Fullerton Ave,2.1455946158511416,0,3.764026485136379,False,False,False,True,0.02910937436347349,1.958061974797421,-1.9289526004339477,1.9289526004339477
56,48,1,36.55406698564593,38199.0,41.92199,-87.707,2223 N Kedzie Blvd,0.5804507526568942,0,3.62578168088437,False,False,False,True,-0.09763444957592983,-0.1805232498523112,0.08288880027638136,-0.08288880027638136
56,51,1,99.3221110100091,109155.0,41.9249,-87.6941,2638 W Fullerton Ave,0.4419269555736899,0,4.608386119426464,True,False,False,False,0.8032243178438643,-0.4655353692019958,1.26875968704586,-1.26875968704586
57,38,1,5.191666666666666,623.0,41.92859,-87.75641,2622 N. Laramie Ave,0.487804078603066,0,1.8232043019357131,False,False,False,True,-1.7502502653439203,-0.3682187020532897,-1.3820315632906306,1.3820315632906306
57,50,1,37.42567567567568,5539.0,41.9286,-87.6958,2716 W Logan Blvd,0.4741633817359839,0,3.6487258735426846,False,False,False,True,-0.07659904986994119,-0.39683692395125997,0.32023787408131876,-0.32023787408131876
57,55,1,22.401995905834188,87547.0,41.9262,-87.6709,2448 Clybourn Ave,0.4038236526817492,1,3.152821313847353,False,False,False,True,-0.5312478921526279,-0.5487452774068992,0.017497385254271247,-0.017497385254271247
